List of Designated Securities Eligible for Short Selling,
Effective date : 11/03/2019,
Note : Delisted securities excluded,

No.,Stock Code,Stock Short Name,Currency,Type,Exempt from Tick Rule,Remarks
330,1109,CHINA RES LAND,HKD,EQTY,,,
331,1111,CHONG HING BANK,HKD,EQTY,,,
332,1112,H&H INTL HLDG,HKD,EQTY,,,
333,1113,CK ASSET,HKD,EQTY,,,
334,1114,BRILLIANCE CHI,HKD,EQTY,,,
335,1115,TIBET WATER,HKD,EQTY,,,
336,1117,CH MODERN D,HKD,EQTY,,,
337,1122,QINGLING MOTORS,HKD,EQTY,,,
338,1128,WYNN MACAU,HKD,EQTY,,,
339,1129,WATER INDUSTRY,HKD,EQTY,,,
340,1131,AGRITRADE RES,HKD,EQTY,,,
341,1133,HARBIN ELECTRIC,HKD,EQTY,,,
342,1138,COSCO SHIP ENGY,HKD,EQTY,,,
343,1140,OP FINANCIAL,HKD,EQTY,,,
344,1141,CMBC CAPITAL,HKD,EQTY,,,
345,1157,ZOOMLION,HKD,EQTY,,,
346,1169,HAIER ELEC,HKD,EQTY,,,
347,1171,YANZHOU COAL,HKD,EQTY,,,
348,1176,ZHUGUANG HOLD,HKD,EQTY,,,
349,1177,SINO BIOPHARM,HKD,EQTY,,,
350,1186,CHINA RAIL CONS,HKD,EQTY,,,
351,1193,CHINA RES GAS,HKD,EQTY,,,
352,1196,REALORD GROUP,HKD,EQTY,,,
353,1199,COSCO SHIP PORT,HKD,EQTY,,,
354,1205,CITIC RESOURCES,HKD,EQTY,,,
355,1208,MMG,HKD,EQTY,,,
356,1211,BYD COMPANY,HKD,EQTY,,,
357,1212,LIFESTYLE INT'L,HKD,EQTY,,,
358,1216,ZYBANK,HKD,EQTY,,,
359,1221,SINO HOTELS,HKD,EQTY,,,
360,1223,SYMPHONY HOLD,HKD,EQTY,,,
361,1224,C C LAND,HKD,EQTY,,,
362,1230,YASHILI INT'L,HKD,EQTY,,,
363,1233,TIMES CHINA,HKD,EQTY,,,
364,1234,CHINA LILANG,HKD,EQTY,,,
365,1238,POWERLONG,HKD,EQTY,,,
366,1243,WANG ON PPT,HKD,EQTY,,,
367,1250,BE CLEAN ENERGY,HKD,EQTY,,,
368,1252,CHINA TIANRUI,HKD,EQTY,,,
369,1257,CEB GREENTECH,HKD,EQTY,,,
370,1258,CHINFMINING,HKD,EQTY,,,
371,1266,XIWANG STEEL,HKD,EQTY,,,
372,1270,LANGHAM-SS,HKD,EQTY,,,
373,1282,CHINA GOLDJOY,HKD,EQTY,,,
374,1288,ABC,HKD,EQTY,,,
375,1293,GRAND BAOXIN,HKD,EQTY,,,
376,1299,AIA,HKD,EQTY,,,
377,1302,LIFETECH SCI,HKD,EQTY,,,
378,1308,SITC,HKD,EQTY,,,
379,1310,HKBN,HKD,EQTY,,,
380,1313,CHINARES CEMENT,HKD,EQTY,,,
381,1316,NEXTEER,HKD,EQTY,,,
382,1317,MAPLELEAF EDU,HKD,EQTY,,,
383,1333,CHINA ZHONGWANG,HKD,EQTY,,,
384,1336,NCI,HKD,EQTY,,,
385,1337,RAZER,HKD,EQTY,,,
386,1339,PICC GROUP,HKD,EQTY,,,
387,1347,HUA HONG SEMI,HKD,EQTY,,,
388,1359,CHINA CINDA,HKD,EQTY,,,
389,1360,MEGAEXPO HLDG,HKD,EQTY,,,
390,1361,361 DEGREES,HKD,EQTY,,,
391,1363,CTEG,HKD,EQTY,,,
392,1368,XTEP INT'L,HKD,EQTY,,,
393,1375,CC SECURITIES,HKD,EQTY,,,
394,1378,CHINAHONGQIAO,HKD,EQTY,,,
395,1381,CANVEST ENV,HKD,EQTY,,,
396,1382,PACIFICTEXTILES,HKD,EQTY,,,
397,1383,SUNCITY GROUP,HKD,EQTY,,,
398,1385,SHANGHAI FUDAN,HKD,EQTY,,,
399,1387,RENHE COMM,HKD,EQTY,,,
400,1398,ICBC,HKD,EQTY,,,
401,1426,SPRING REIT,HKD,TRST,,,
402,1432,CHINA SHENGMU,HKD,EQTY,,,
403,1448,FU SHOU YUAN,HKD,EQTY,,,
404,1458,ZHOU HEI YA,HKD,EQTY,,,
405,1478,Q TECH,HKD,EQTY,,,
406,1508,CHINA RE,HKD,EQTY,,,
407,1513,LIVZON PHARMA,HKD,EQTY,,,
408,1515,CR MEDICAL,HKD,EQTY,,,
409,1518,NC HEALTHCARE,HKD,EQTY,,,
410,1528,RS MACALLINE,HKD,EQTY,,,
411,1530,3SBIO,HKD,EQTY,,,
412,1548,GENSCRIPT BIO,HKD,EQTY,,,
413,1551,GRCB,HKD,EQTY,,,
414,1558,HEC PHARM,HKD,EQTY,,,
415,1561,MANFIELD CHEM,HKD,EQTY,,,
416,1566,CHINA ANIMATION,HKD,EQTY,,,
417,1568,SUNDART HLDGS,HKD,EQTY,,,
418,1569,MINSHENG EDU,HKD,EQTY,,,
419,1573,SOUTHERN ENERGY,HKD,EQTY,,,
420,1578,BANK OF TIANJIN,HKD,EQTY,,,
421,1579,YIHAI INTL,HKD,EQTY,,,
422,1585,YADEA,HKD,EQTY,,,
423,1589,CNLP,HKD,EQTY,,,
424,1600,TIAN LUN GAS,HKD,EQTY,,,
425,1606,CDB LEASING,HKD,EQTY,,,
426,1608,VPOWER GROUP,HKD,EQTY,,,
427,1610,COFCO MEAT,HKD,EQTY,,,
428,1617,NANFANG COMM,HKD,EQTY,,,
429,1618,MCC,HKD,EQTY,,,
430,1622,REDCO GROUP,HKD,EQTY,,,
431,1628,YUZHOU PPT,HKD,EQTY,,,
432,1636,CMRU,HKD,EQTY,,,
433,1638,KAISA GROUP,HKD,EQTY,,,
434,1658,PSBC,HKD,EQTY,,,
435,1660,ZHAOBANGJI PPT,HKD,EQTY,,,
436,1666,TONG REN TANG,HKD,EQTY,,,
437,1668,CHINASOUTHCITY,HKD,EQTY,,,
438,1672,ASCLETIS-B,HKD,EQTY,,,
439,1680,MACAU LEGEND,HKD,EQTY,,,
440,1681,CONSUN PHARMA,HKD,EQTY,,,
441,1686,SUNEVISION,HKD,EQTY,,,
442,1708,SAMPLE TECH,HKD,EQTY,,,
443,1717,AUSNUTRIA,HKD,EQTY,,,
444,1720,PUTIAN COMM,HKD,EQTY,,,
445,1727,HEBEI CONS,HKD,EQTY,,,
446,1728,ZHENGTONGAUTO,HKD,EQTY,,,
447,1765,HOPE EDU,HKD,EQTY,,,
448,1766,CRRC,HKD,EQTY,,,
449,1772,GANFENGLITHIUM,HKD,EQTY,,,
450,1776,GF SEC,HKD,EQTY,,,
451,1777,FANTASIA,HKD,EQTY,,,
452,1778,COLOUR LIFE,HKD,EQTY,,,
453,1787,SD GOLD,HKD,EQTY,,,
454,1788,GUOTAI JUNAN I,HKD,EQTY,,,
455,1789,AK MEDICAL,HKD,EQTY,,,
456,1798,DATANG RENEW,HKD,EQTY,,,
457,1799,XINTE ENERGY,HKD,EQTY,,,
458,1800,CHINA COMM CONS,HKD,EQTY,,,
459,1803,BJ SPORTS & ENT,HKD,EQTY,,,
460,1806,HUIFU PAYMENT,HKD,EQTY,,,
461,1810,XIAOMI-W,HKD,EQTY,,,
462,1811,CGN NEW ENERGY,HKD,EQTY,,,
463,1812,CHENMING PAPER,HKD,EQTY,,,
464,1813,KWG GROUP,HKD,EQTY,,,
465,1816,CGN POWER,HKD,EQTY,,,
466,1818,ZHAOJIN MINING,HKD,EQTY,,,
467,1828,DCH HOLDINGS,HKD,EQTY,,,
468,1829,CMEC,HKD,EQTY,,,
469,1833,PA GOODDOCTOR,HKD,EQTY,,,
470,1836,STELLA HOLDINGS,HKD,EQTY,,,
471,1848,CALC,HKD,EQTY,,,
472,1862,JINGRUI HLDGS,HKD,EQTY,,,
473,1866,CHINA XLX FERT,HKD,EQTY,,,
474,1881,REGAL REIT,HKD,TRST,,,
475,1882,HAITIAN INT'L,HKD,EQTY,,,
476,1883,CITIC TELECOM,HKD,EQTY,,,
477,1888,KB LAMINATES,HKD,EQTY,,,
478,1898,CHINA COAL,HKD,EQTY,,,
